apantisi,vathmos,date,timi
Το αίσθηµα ασφάλειας,Αρνητικά,Sep-20,59.9
Την ελευθερία,Θετικά,Apr-20,30.4
Την ελευθερία,Ουδέτερα,Apr-20,31
Την ελευθερία,Αρνητικά,Apr-20,36.3
Την ελευθερία,Θετικά,Sep-20,13
Την ελευθερία,Ουδέτερα,Sep-20,24.8
Την ελευθερία,Αρνητικά,Sep-20,60
Την ψυχική υγεία των πολιτών,Θετικά,Apr-20,19.9
Την ψυχική υγεία των πολιτών,Ουδέτερα,Apr-20,15.7
Την ψυχική υγεία των πολιτών,Αρνητικά,Apr-20,63
Την ψυχική υγεία των πολιτών,Θετικά,Sep-20,11.9
Την ψυχική υγεία των πολιτών,Ουδέτερα,Sep-20,11.1
Την ψυχική υγεία των πολιτών,Αρνητικά,Sep-20,75.3
Την οικονοµία,Θετικά,Apr-20,10.1
Την οικονοµία,Ουδέτερα,Apr-20,4.5
Την οικονοµία,Αρνητικά,Apr-20,84.3
Την οικονοµία,Θετικά,Sep-20,7.3
Την οικονοµία,Ουδέτερα,Sep-20,4.9
Την οικονοµία,Αρνητικά,Sep-20,87.1
Την οικονοµική σας κατάσταση,Θετικά,Apr-20,8
Την οικονοµική σας κατάσταση,Ουδέτερα,Apr-20,32.4
Την οικονοµική σας κατάσταση,Αρνητικά,Apr-20,57.9
Την οικονοµική σας κατάσταση,Θετικά,Sep-20,6.5
Την οικονοµική σας κατάσταση,Ουδέτερα,Sep-20,38.7
Την οικονοµική σας κατάσταση,Αρνητικά,Sep-20,53.4
